Timestamp,Size,Type,Remarks,Is Detected,note,Status
"6/3/2016 11:36:00 AM","54mm","Copper","Loc - Copper connection compression joint dripping","no","",""
"6/17/2016 1:41:00 PM","200mm","DI","Loo-p - Main fitting joint","yes","","identified"
"6/20/2016 9:58:00 AM","150mm","DI","Loc - Bulk meter connecting pipe","yes","single flow outlier","identified"
"6/22/2016 5:59:00 PM","150mm","DI","Loc - Bulk meter connecting pipe fitting joint","yes","single flow outlier","identified"
"6/27/2016 6:30:00 AM","200mm","CI","Lom - Soil subsidence (Rain)","yes","","identified"
"6/30/2016 12:14:00 PM","100mm","DI","Loc - Bulk meter connecting pipe fitting joint","yes","","identified"
"7/11/2016 10:26:00 AM","25mm","Copper","Loc - Copper connection compression joint dripping","yes","","identified"
"7/16/2016 10:01:00 AM","100mm","DI","Loc - Bulk meter connecting pipe","yes","","identified"
"7/22/2016 8:49:00 AM","25mm","MTR","Loo-p - Meter body leaking","yes","single flow outlier","identified"
"7/25/2016 9:14:00 AM","150mm","DI","Lom - Localised minor corrosion","yes","single flow outlier","identified"
"7/26/2016 8:14:00 AM","150mm","DI","Loo-p - Main fitting joint","yes","","identified"
"7/26/2016 6:13:00 PM","200mm","DI","Lom - Soil subsidence (Rain)","yes","","identified"
"7/31/2016 11:59:00 AM","100mm","DI","Loc - Bulk meter connecting pipe damaged","yes","","identified"
"8/2/2016 11:47:00 AM","25mm","Copper","Loo-p - Air valve fitting joint","no","","identified"
"8/3/2016 1:17:00 PM","100mm","DI","Loc - Bulk meter connecting pipe fitting joint","no","",""
"8/12/2016 6:42:00 PM","150mm","DI","Loc - Bulk meter connecting pipe","no","","identified"
"8/18/2016 9:39:00 AM","100mm","V/V","Loo-p - Valve gland leaking","yes","","identified"
"8/20/2016 2:19:00 PM","150mm","DI","Lom - Localised minor corrosion","yes","","identified"
"8/23/2016 10:07:00 AM","150mm","DI","Loo-p - Main fitting joint","yes","","identified"
"8/29/2016 8:32:00 AM","300mm","DI","Lom - Localised minor corrosion","yes","","identified"
"8/29/2016 2:11:00 PM","300mm","DI","Loo-p - Main fitting joint","yes","","identified"
"8/29/2016 4:04:00 PM","200mm","DI","Lom - Localised minor corrosion (external)","yes","","identified"
"8/31/2016 1:01:00 PM","100mm","CI","Loo-p - Abandoned main","yes","","identified"
"9/5/2016 3:41:00 PM","150mm","V/V","Loo-p - Control valve crack","no","",""
"9/5/2016 6:01:00 PM","100mm","","Loo-p - Control valve crack","no","",""
"9/6/2016 3:30:00 PM","54mm","Copper","Loc - Copper connecting pipe","yes","single pressure outlier",""
"9/6/2016 3:46:00 PM","150mm","V/V","Loo-p - Valve gland leaking","yes","single pressure outlier",""
"9/13/2016 1:17:00 PM","150mm","DI","Loc - Bulk meter connecting pipe fitting joint","no","","identified"
"9/15/2016 9:37:00 AM","100mm","V/V","Loo-p - Control valve crack","no","",""
"9/15/2016 4:59:00 PM","100mm","DI","Loc - Bulk meter connecting pipe fitting joint","no","",""
"9/15/2016 5:13:00 PM","150mm","CI","Loo-p - Air valve fitting joint","no","",""
"9/15/2016 6:34:00 PM","200mm","CI","Lom - Localised minor corrosion","yes","ground true happens before outlier start",""
"9/23/2016 7:38:00 PM","150mm","DI","Loo-p - Main fitting joint","yes","single pressure outlier","identified"
"9/26/2016 1:56:00 PM","25mm","TF","Loo-p - Talbot Ferrule damaged by contractor","yes","single pressure outlier","identified"
"10/4/2016 11:11:00 AM","25mm","Copper","Loo-p - Air valve fitting joint","yes","","identified"
"10/11/2016 8:06:00 AM","150mm","CI","Lom - Localised minor corrosion","yes","not enough outliers in the defined time gap","identified"
"10/11/2016 2:45:00 PM","100mm","CI","Loc - Bulk meter connecting pipe fitting joint","yes","","identified"
"10/11/2016 5:07:00 PM","100mm","V/V","Loo-p - Valve gland leaking","yes","","identified"
"10/31/2016 3:36:00 AM","150mm","CI","Lom - Localised minor corrosion","yes","","identified"
"11/5/2016 6:10:00 AM","200mm","DI","Lom - Soil subsidence (Rain)","yes","","identified"
"11/5/2016 10:36:00 AM","35mm","Copper","Loc - Copper connecting pipe","yes","","identified"
"11/8/2016 2:02:00 PM","150mm","DI","Loc - Bulk meter connecting pipe fitting joint","yes","only 2 flow outliers","identified"
"11/11/2016 9:22:00 PM","150mm","CI","Loc - Bulk meter connecting pipe damaged","yes","ground true happens 72h aftrer outlier start",""
"11/14/2016 3:20:00 PM","35mm","Copper","Loo-p - Abandoned copper connecting pipe","yes","not enough  outliers (time gap too large)","identified"
"11/17/2016 8:07:00 AM","100mm","DI","Loc - Bulk meter connecting pipe fitting joint","yes","","identified"
"11/22/2016 9:18:00 AM","150mm","CI","Loo-p - Main fitting joint","no","",""
"11/28/2016 6:20:00 AM","100mm","DI","Loc - Bulk meter connecting pipe","yes","single flow outlier",""
"12/2/2016 11:28:00 AM","100mm","V/V","Loo-p - Valve gland leaking","no","",""
"12/5/2016 9:39:00 AM","150mm","CI","Loc - Bulk meter connecting pipe","no","",""
"12/5/2016 4:40:00 PM","25mm","TF","Loo-p - Talbot Ferrule damaged by contractor","yes","single pressure outlier",""
"12/17/2016 10:41:00 AM","","","Loo-p - Meter tubing leak due to washer worn out","no","",""
"12/20/2016 7:27:00 PM","100mm","DI","Loc - Bulk meter connecting pipe","yes","ground true happens before outliers",""
"12/21/2016 4:58:00 PM","","","Loo-p - Meter coupling dripping","yes","","identified"
